#FontName,#DisplayName,IncludeFile,DefineFile,nFontId,eFontRefType,pvFontRef,nFontSz,LogicalFont,LogicalFontSize,LogicalFontStyle
FreeFont Serif,FreeSerifItalic12pt,NULL,/usr/share/fonts/truetype/freefont/FreeSerifItalic.ttf,E_FREE_SERIFI12,GSLC_FONTREF_FNAME,FONT_FREE_SERIFI9,12,Serif,12,ITALIC
FreeFont Serif,FreeSerifItalic18pt,NULL,/usr/share/fonts/truetype/freefont/FreeSerifItalic.ttf,E_FREE_SERIFI18,GSLC_FONTREF_FNAME,FONT_FREE_SERIFI9,18,Serif,18,ITALIC
FreeFont Serif,FreeSerifItalic24pt,NULL,/usr/share/fonts/truetype/freefont/FreeSerifItalic.ttf,E_FREE_SERIFI24,GSLC_FONTREF_FNAME,FONT_FREE_SERIFI9,24,Serif,24,ITALIC
Noto Monospaced,NotoMono-Regular8pt,NULL,/usr/share/fonts/truetype/noto/NotoMono-Regular.ttf,E_NOTO_MONO8,GSLC_FONTREF_FNAME,FONT_NOTO_MONO8,8,Monospaced,8,PLAIN
Noto Monospaced,NotoMono-Regular10pt,NULL,/usr/share/fonts/truetype/noto/NotoMono-Regular.ttf,E_NOTO_MONO10,GSLC_FONTREF_FNAME,FONT_NOTO_MONO10,10,Monospaced,10,PLAIN
Noto Monospaced,NotoMono-Regular12pt,NULL,/usr/share/fonts/truetype/noto/NotoMono-Regular.ttf,E_NOTO_MONO12,GSLC_FONTREF_FNAME,FONT_NOTO_MONO12,12,Monospaced,12,PLAIN
Noto Monospaced,NotoMono-Regular14pt,NULL,/usr/share/fonts/truetype/noto/NotoMono-Regular.ttf,E_NOTO_MONO14,GSLC_FONTREF_FNAME,FONT_NOTO_MONO14,14,Monospaced,14,PLAIN
Noto Monospaced,NotoMono-Regular16pt,NULL,/usr/share/fonts/truetype/noto/NotoMono-Regular.ttf,E_NOTO_MONO16,GSLC_FONTREF_FNAME,FONT_NOTO_MONO16,16,Monospaced,16,PLAIN
Noto Monospaced,NotoMono-Regular18pt,NULL,/usr/share/fonts/truetype/noto/NotoMono-Regular.ttf,E_NOTO_MONO18,GSLC_FONTREF_FNAME,FONT_NOTO_MONO18,18,Monospaced,18,PLAIN
Noto Monospaced,NotoMono-Regular20pt,NULL,/usr/share/fonts/truetype/noto/NotoMono-Regular.ttf,E_NOTO_MONO20,GSLC_FONTREF_FNAME,FONT_NOTO_MONO20,20,Monospaced,20,PLAIN
Noto Monospaced,NotoMono-Regular22pt,NULL,/usr/share/fonts/truetype/noto/NotoMono-Regular.ttf,E_NOTO_MONO22,GSLC_FONTREF_FNAME,FONT_NOTO_MONO22,22,Monospaced,22,PLAIN
Noto Monospaced,NotoMono-Regular24pt,NULL,/usr/share/fonts/truetype/noto/NotoMono-Regular.ttf,E_NOTO_MONO24,GSLC_FONTREF_FNAME,FONT_NOTO_MONO24,24,Monospaced,24,PLAIN
